GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_Affy_HuEX_U133A	ADH7	ADH7	131	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADI1	ADI1	55256	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADIPOQ	ADIPOQ	9370	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADIPOR1	ADIPOR1	51094	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADIPOR2	ADIPOR2	79602	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADK	ADK	132	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADM	ADM	133	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADM2	ADM2	79924	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADMR	ADMR		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADNP	ADNP	23394	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADNP2	ADNP2	22850	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADORA1	ADORA1	134	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADORA2A	ADORA2A	135	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADORA2B	ADORA2B	136	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADORA3	ADORA3	140	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADPGK	ADPGK	83440	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADPRH	ADPRH	141	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA1A	ADRA1A	148	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA1B	ADRA1B	147	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA1D	ADRA1D	146	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA2A	ADRA2A	150	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA2B	ADRA2B	151	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRA2C	ADRA2C	152	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRB1	ADRB1	153	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRB2	ADRB2	154	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRB3	ADRB3	155	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRBK1	ADRBK1	156	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRBK2	ADRBK2	157	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADRM1	ADRM1	11047	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADSL	ADSL	158	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ADSS	ADSS	159	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AEBP1	AEBP1	165	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AES	AES	166	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFAP1	AFAP1	60312	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFF1	AFF1	4299	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFF2	AFF2	2334	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFF3	AFF3	3899	HOMO_SAPIENS
