GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_UNC_244	A_23_P416173	DKFZP434G156		HOMO_SAPIENS
Agi_UNC_244	A_24_P113522	DGCR8	54487	HOMO_SAPIENS
Agi_UNC_244	A_23_P432069			HOMO_SAPIENS
Agi_UNC_244	A_23_P136778	APOD	347	HOMO_SAPIENS
Agi_UNC_244	A_24_P418024			HOMO_SAPIENS
Agi_UNC_244	A_23_P354075	CHS1		HOMO_SAPIENS
Agi_UNC_244	A_23_P125406	MGC4293		HOMO_SAPIENS
Agi_UNC_244	A_24_P274366			HOMO_SAPIENS
Agi_UNC_244	A_24_P230059			HOMO_SAPIENS
Agi_UNC_244	A_24_P252493	TRIB1	10221	HOMO_SAPIENS
Agi_UNC_244	A_24_P73960			HOMO_SAPIENS
Agi_UNC_244	A_23_P147394			HOMO_SAPIENS
Agi_UNC_244	A_32_P161162	RPL10	26778	HOMO_SAPIENS
Agi_UNC_244	A_23_P101343	APG4D		HOMO_SAPIENS
Agi_UNC_244	A_23_P251032	IL13	3596	HOMO_SAPIENS
Agi_UNC_244	A_23_P71198	TBXAS1	6916	HOMO_SAPIENS
Agi_UNC_244	A_24_P31276	ATP1B2	482	HOMO_SAPIENS
Agi_UNC_244	A_23_P83099	ALDH1A1	216	HOMO_SAPIENS
Agi_UNC_244	A_24_P186538	CD209	30835	HOMO_SAPIENS
Agi_UNC_244	A_23_P7725	HAPLN1	1404	HOMO_SAPIENS
Agi_UNC_244	A_24_P113956	NT5C1A	84618	HOMO_SAPIENS
Agi_UNC_244	A_32_P208959			HOMO_SAPIENS
Agi_UNC_244	A_32_P169782			HOMO_SAPIENS
Agi_UNC_244	A_23_P210691	TRIB3	57761	HOMO_SAPIENS
Agi_UNC_244	A_32_P118656	RPL10A	4736	HOMO_SAPIENS
Agi_UNC_244	A_24_P86805	C10orf82	143379	HOMO_SAPIENS
Agi_UNC_244	A_23_P22964	PIK3R3	8503	HOMO_SAPIENS
Agi_UNC_244	A_23_P207382	LGP1		HOMO_SAPIENS
Agi_UNC_244	A_24_P29989	GLE1L		HOMO_SAPIENS
Agi_UNC_244	A_23_P425931	VTI1A	143187	HOMO_SAPIENS
Agi_UNC_244	A_32_P38154			HOMO_SAPIENS
