GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Affy_microarray	GSTP1	GSTP1	2950	HOMO_SAPIENS
Affy_microarray	DCUN1D5	DCUN1D5	84259	HOMO_SAPIENS
Affy_microarray	DKFZP564J0863	DKFZP564J0863		HOMO_SAPIENS
Affy_microarray	SLC9A3R1	SLC9A3R1	9368	HOMO_SAPIENS
Affy_microarray	BCDO2	BCDO2	83875	HOMO_SAPIENS
Affy_microarray	CHMP7	CHMP7	91782	HOMO_SAPIENS
Affy_microarray	REM2	REM2	161253	HOMO_SAPIENS
Affy_microarray	DNHD1	DNHD1	144132	HOMO_SAPIENS
Affy_microarray	FKBP4	FKBP4	2288	HOMO_SAPIENS
Affy_microarray	ZNF350	ZNF350	59348	HOMO_SAPIENS
Affy_microarray	MGC11102	MGC11102		HOMO_SAPIENS
Affy_microarray	BST1	BST1	683	HOMO_SAPIENS
Affy_microarray	KISS1R	KISS1R	84634	HOMO_SAPIENS
Affy_microarray	NCR2	NCR2	9436	HOMO_SAPIENS
Affy_microarray	DEFB125	DEFB125	245938	HOMO_SAPIENS
Affy_microarray	UBE2W	UBE2W	55284	HOMO_SAPIENS
Affy_microarray	KRT15	KRT15	3866	HOMO_SAPIENS
Affy_microarray	C10orf99	C10orf99	387695	HOMO_SAPIENS
Affy_microarray	SCN11A	SCN11A	11280	HOMO_SAPIENS
Affy_microarray	GFI1	GFI1	2672	HOMO_SAPIENS
Affy_microarray	RDHE2	RDHE2		HOMO_SAPIENS
Affy_microarray	FHL1	FHL1	2273	HOMO_SAPIENS
Affy_microarray	OSGEP	OSGEP	55644	HOMO_SAPIENS
Affy_microarray	GATA1	GATA1	2623	HOMO_SAPIENS
Affy_microarray	SMC6	SMC6	79677	HOMO_SAPIENS
Affy_microarray	TTTY14	TTTY14	83869	HOMO_SAPIENS
Affy_microarray	LPIN3	LPIN3	64900	HOMO_SAPIENS
Affy_microarray	RPL4	RPL4	595100	HOMO_SAPIENS
Affy_microarray	RBPMS	RBPMS	11030	HOMO_SAPIENS
Affy_microarray	PRPF3	PRPF3	9129	HOMO_SAPIENS
Affy_microarray	EMR1	EMR1	2015	HOMO_SAPIENS
Affy_microarray	SPATA19	SPATA19	219938	HOMO_SAPIENS
Affy_microarray	XCR1	XCR1	2829	HOMO_SAPIENS
Affy_microarray	IRX3	IRX3	79191	HOMO_SAPIENS
Affy_microarray	RBM6	RBM6	10180	HOMO_SAPIENS
Affy_microarray	KLF4	KLF4	9314	HOMO_SAPIENS
Affy_microarray	UNC5CL	UNC5CL	222643	HOMO_SAPIENS
Affy_microarray	SEBOX	SEBOX	645832	HOMO_SAPIENS
Affy_microarray	BTK	BTK	695	HOMO_SAPIENS
Affy_microarray	KRCC1	KRCC1	51315	HOMO_SAPIENS
Affy_microarray	C6orf27	C6orf27		HOMO_SAPIENS
Affy_microarray	SYTL5	SYTL5	94122	HOMO_SAPIENS
Affy_microarray	PRND	PRND	23627	HOMO_SAPIENS
Affy_microarray	LOC653319	LOC653319		HOMO_SAPIENS
Affy_microarray	PIGL	PIGL	9487	HOMO_SAPIENS
Affy_microarray	HUS1	HUS1	3364	HOMO_SAPIENS
Affy_microarray	SFRS6	SFRS6		HOMO_SAPIENS
Affy_microarray	C17orf77	C17orf77	146723	HOMO_SAPIENS
Affy_microarray	UIMC1	UIMC1	51720	HOMO_SAPIENS
Affy_microarray	FXYD2	FXYD2	486	HOMO_SAPIENS
